timestamp,step,loss,l1,ssim,pts_M,fru_M,fru_pct,alloc_gb,rsv_gb,peak_gb,sh,elapsed
2026-03-12 12:10:52,85,0.277,0.1466,0.7626,0.05,0.03,50.8,0.09,0.2,0.24,0,2.5
2026-03-12 12:10:52,86,0.2749,0.167,0.6908,0.05,0.02,38.3,0.09,0.19,0.24,0,2.5
2026-03-12 12:10:52,87,0.2894,0.1939,0.7802,0.05,0.02,29.9,0.09,0.25,0.24,0,2.5
2026-03-12 12:10:52,88,0.3495,0.3593,0.7607,0.05,0.01,22.3,0.09,0.25,0.24,0,2.5
2026-03-12 12:10:52,89,0.3188,0.1593,0.7262,0.05,0.02,44.8,0.09,0.21,0.24,0,2.5
2026-03-12 12:10:52,90,0.2981,0.1561,0.7114,0.05,0.03,47.3,0.09,0.21,0.24,0,2.6
2026-03-12 12:10:52,91,0.3146,0.2352,0.7565,0.05,0.01,11.3,0.09,0.24,0.24,0,2.6
2026-03-12 12:10:52,92,0.3121,0.1965,0.7561,0.05,0.03,55.8,0.09,0.19,0.24,0,2.6
2026-03-12 12:10:52,93,0.2872,0.1351,0.7083,0.05,0.02,45.3,0.09,0.2,0.24,0,2.6
2026-03-12 12:10:52,94,0.2703,0.1303,0.704,0.05,0.02,33.9,0.09,0.21,0.24,0,2.6
2026-03-12 12:10:52,95,0.2765,0.2002,0.6286,0.05,0.02,28.8,0.09,0.24,0.24,0,2.6
2026-03-12 12:10:52,96,0.2657,0.1389,0.6915,0.05,0.02,35.7,0.09,0.19,0.24,0,2.7
2026-03-12 12:10:52,97,0.259,0.1432,0.6725,0.05,0.03,47.3,0.09,0.2,0.24,0,2.7
2026-03-12 12:10:52,98,0.3026,0.2747,0.7413,0.05,0.02,32.9,0.09,0.2,0.24,0,2.7
2026-03-12 12:10:52,99,0.3267,0.2788,0.699,0.05,0.03,47.4,0.09,0.24,0.24,0,2.7
2026-03-12 12:10:52,100,0.324,0.2013,0.7943,0.05,0.02,44.3,0.09,0.2,0.24,0,2.7
2026-03-12 12:10:52,101,0.2916,0.1312,0.6906,0.05,0.02,32.1,0.09,0.2,0.24,0,2.7
2026-03-12 12:10:52,102,0.2828,0.144,0.7716,0.05,0.03,47.4,0.09,0.2,0.24,0,2.8
2026-03-12 12:10:52,103,0.3331,0.3088,0.8079,0.05,0.01,24.3,0.09,0.25,0.24,0,2.8
2026-03-12 12:10:52,104,0.3376,0.2432,0.749,0.05,0.02,38.7,0.09,0.19,0.24,0,2.8
2026-03-12 12:10:52,105,0.3082,0.1512,0.7163,0.05,0.01,26.7,0.09,0.25,0.24,0,2.8
2026-03-12 12:10:52,106,0.2734,0.1153,0.6446,0.05,0.02,30.9,0.09,0.19,0.24,0,2.8
2026-03-12 12:10:52,107,0.2632,0.1466,0.6536,0.05,0.02,30.0,0.09,0.24,0.24,0,2.8
2026-03-12 12:10:52,108,0.2527,0.1345,0.6468,0.05,0.02,39.9,0.09,0.19,0.24,0,2.9
2026-03-12 12:10:52,109,0.2675,0.2017,0.6422,0.05,0.02,44.2,0.09,0.2,0.24,0,2.9
2026-03-12 12:10:52,110,0.2611,0.1421,0.6885,0.05,0.02,36.3,0.09,0.2,0.24,0,2.9
2026-03-12 12:10:52,111,0.2598,0.1459,0.7058,0.05,0.02,32.5,0.09,0.18,0.24,0,2.9
2026-03-12 12:10:52,112,0.2591,0.1329,0.7584,0.05,0.02,35.5,0.09,0.22,0.24,0,2.9
2026-03-12 12:10:52,113,0.2768,0.1847,0.778,0.05,0.01,25.1,0.09,0.25,0.24,0,2.9
2026-03-12 12:10:52,114,0.2531,0.121,0.6044,0.05,0.02,38.7,0.09,0.21,0.24,0,3.0
2026-03-12 12:10:52,115,0.2394,0.1031,0.6814,0.05,0.02,31.7,0.09,0.19,0.24,0,3.0
2026-03-12 12:10:52,116,0.2731,0.2212,0.7338,0.05,0.01,12.5,0.09,0.24,0.24,0,3.0
2026-03-12 12:10:52,117,0.2462,0.1095,0.5916,0.05,0.01,23.1,0.09,0.24,0.24,0,3.0
2026-03-12 12:10:52,118,0.2374,0.1194,0.6424,0.05,0.02,30.9,0.09,0.19,0.24,0,3.0
2026-03-12 12:10:52,119,0.225,0.0995,0.635,0.05,0.02,27.9,0.09,0.24,0.24,0,3.0
2026-03-12 12:10:52,120,0.2373,0.1697,0.5993,0.05,0.02,33.2,0.09,0.23,0.24,0,3.1
2026-03-12 12:10:52,121,0.286,0.2692,0.7187,0.05,0.02,34.3,0.09,0.18,0.24,0,3.1
2026-03-12 12:10:52,122,0.2703,0.1247,0.7348,0.05,0.02,45.6,0.09,0.2,0.24,0,3.1
2026-03-12 12:10:52,123,0.3716,0.4664,0.7517,0.05,0.0,5.1,0.09,0.27,0.24,0,3.1
2026-03-12 12:10:52,124,0.3831,0.311,0.7579,0.05,0.02,32.3,0.09,0.21,0.24,0,3.1
2026-03-12 12:10:52,125,0.3231,0.1204,0.684,0.05,0.02,35.5,0.09,0.21,0.24,0,3.1
2026-03-12 12:10:53,126,0.2846,0.1145,0.6766,0.05,0.02,37.6,0.09,0.2,0.24,0,3.2
2026-03-12 12:10:53,127,0.2776,0.1551,0.7151,0.05,0.01,24.7,0.09,0.25,0.24,0,3.2
2026-03-12 12:10:53,128,0.316,0.288,0.7157,0.05,0.02,36.3,0.09,0.21,0.24,0,3.2
2026-03-12 12:10:53,129,0.2859,0.1163,0.7389,0.05,0.02,28.3,0.09,0.24,0.24,0,3.2
2026-03-12 12:10:53,130,0.2622,0.118,0.6608,0.05,0.02,38.5,0.09,0.19,0.24,0,3.2
2026-03-12 12:10:53,131,0.2469,0.1016,0.714,0.05,0.03,48.4,0.09,0.2,0.24,0,3.2
2026-03-12 12:10:53,132,0.2679,0.211,0.6528,0.05,0.02,35.6,0.09,0.2,0.24,0,3.3
2026-03-12 12:10:53,133,0.25,0.1041,0.6991,0.05,0.02,42.8,0.09,0.2,0.24,0,3.3
2026-03-12 12:10:53,134,0.3424,0.4234,0.7119,0.05,0.01,22.5,0.09,0.24,0.24,0,3.3
2026-03-12 12:10:53,135,0.3148,0.1506,0.7647,0.05,0.03,56.2,0.09,0.21,0.24,0,3.3
2026-03-12 12:10:53,136,0.2895,0.1393,0.7006,0.05,0.03,48.9,0.09,0.2,0.24,0,3.3
2026-03-12 12:10:53,137,0.2616,0.1011,0.694,0.05,0.02,40.7,0.09,0.2,0.24,0,3.3
2026-03-12 12:10:53,138,0.2537,0.1199,0.7295,0.05,0.02,37.3,0.09,0.2,0.24,0,3.4
2026-03-12 12:10:53,139,0.2341,0.0986,0.6298,0.05,0.02,43.5,0.09,0.2,0.24,0,3.4
2026-03-12 12:10:53,140,0.2317,0.1037,0.726,0.05,0.02,29.3,0.09,0.25,0.24,0,3.4
2026-03-12 12:10:53,141,0.2506,0.1667,0.7282,0.05,0.02,30.4,0.09,0.19,0.24,0,3.4
2026-03-12 12:10:53,142,0.2803,0.2075,0.7942,0.05,0.02,32.1,0.09,0.2,0.24,0,3.4
2026-03-12 12:10:53,143,0.3085,0.2342,0.8172,0.05,0.02,30.3,0.09,0.2,0.24,0,3.4
2026-03-12 12:10:53,144,0.2874,0.1286,0.7643,0.05,0.02,37.7,0.09,0.2,0.24,0,3.5
2026-03-12 12:10:53,145,0.2566,0.0974,0.6632,0.05,0.03,47.0,0.09,0.2,0.24,0,3.5
2026-03-12 12:10:53,146,0.2556,0.1395,0.7123,0.05,0.02,28.6,0.09,0.25,0.24,0,3.5
2026-03-12 12:10:53,147,0.3451,0.425,0.6966,0.05,0.01,16.5,0.09,0.25,0.24,0,3.5
2026-03-12 12:10:53,148,0.2951,0.0969,0.7132,0.05,0.02,37.1,0.09,0.19,0.24,0,3.5
2026-03-12 12:10:53,149,0.3596,0.3951,0.7016,0.05,0.01,24.2,0.09,0.24,0.24,0,3.5
2026-03-12 12:10:53,150,0.3035,0.1007,0.6929,0.05,0.03,51.7,0.09,0.21,0.24,0,3.5
2026-03-12 12:10:53,151,0.2901,0.1491,0.7545,0.05,0.03,50.2,0.09,0.19,0.24,0,3.6
2026-03-12 12:10:53,152,0.2737,0.143,0.6731,0.05,0.03,51.8,0.09,0.19,0.24,0,3.6
2026-03-12 12:10:53,153,0.2427,0.0807,0.6583,0.05,0.02,36.0,0.09,0.22,0.24,0,3.6
2026-03-12 12:10:53,154,0.3146,0.3492,0.7155,0.05,0.01,25.8,0.09,0.25,0.24,0,3.6
2026-03-12 12:10:53,155,0.2665,0.09,0.6114,0.05,0.02,38.3,0.09,0.19,0.24,0,3.6
2026-03-12 12:10:53,156,0.2903,0.2321,0.702,0.05,0.02,28.9,0.09,0.25,0.24,0,3.6
2026-03-12 12:10:53,157,0.2832,0.1565,0.7365,0.05,0.03,52.0,0.09,0.19,0.24,0,3.7
2026-03-12 12:10:53,158,0.2516,0.0983,0.6284,0.05,0.02,35.7,0.09,0.2,0.24,0,3.7
2026-03-12 12:10:53,159,0.2662,0.1714,0.7544,0.05,0.01,12.0,0.09,0.24,0.24,0,3.7
2026-03-12 12:10:53,160,0.2332,0.0754,0.6167,0.05,0.02,45.2,0.09,0.19,0.24,0,3.7
2026-03-12 12:10:53,161,0.2229,0.1044,0.6202,0.05,0.01,26.3,0.09,0.24,0.24,0,3.7
2026-03-12 12:10:53,162,0.2036,0.0713,0.5883,0.05,0.02,41.4,0.09,0.19,0.24,0,3.7
2026-03-12 12:10:53,163,0.2129,0.111,0.6902,0.05,0.02,45.8,0.09,0.2,0.24,0,3.8
2026-03-12 12:10:53,164,0.2019,0.0717,0.6398,0.05,0.02,43.5,0.09,0.19,0.24,0,3.8
2026-03-12 12:10:53,165,0.2049,0.0914,0.6815,0.05,0.02,34.2,0.09,0.19,0.24,0,3.8
2026-03-12 12:10:53,166,0.2054,0.0976,0.6409,0.05,0.02,36.9,0.09,0.19,0.24,0,3.8
2026-03-12 12:10:53,167,0.3354,0.4792,0.7352,0.05,0.01,11.5,0.09,0.24,0.24,0,3.8
2026-03-12 12:10:53,168,0.342,0.2454,0.7781,0.05,0.02,28.9,0.09,0.24,0.24,0,3.8
2026-03-12 12:10:53,169,0.3086,0.1466,0.7057,0.05,0.02,36.6,0.09,0.21,0.24,0,3.9
2026-03-12 12:10:53,170,0.2785,0.1179,0.6956,0.05,0.02,45.4,0.09,0.19,0.24,0,3.9
2026-03-12 12:10:53,171,0.2803,0.1615,0.7685,0.05,0.02,30.1,0.09,0.2,0.24,0,3.9
2026-03-12 12:10:53,172,0.2541,0.0892,0.7178,0.05,0.03,49.4,0.09,0.2,0.24,0,4.0
2026-03-12 12:10:53,173,0.2733,0.1902,0.7493,0.05,0.0,3.5,0.08,0.27,0.24,0,4.0
2026-03-12 12:10:53,174,0.2424,0.0838,0.6457,0.05,0.02,45.8,0.09,0.19,0.24,0,4.0
2026-03-12 12:10:53,175,0.232,0.1158,0.6184,0.05,0.01,21.7,0.09,0.24,0.24,0,4.0
2026-03-12 12:10:53,176,0.2311,0.1422,0.5802,0.05,0.02,33.4,0.09,0.22,0.24,0,4.0
2026-03-12 12:10:53,177,0.2316,0.1179,0.6904,0.05,0.03,49.0,0.09,0.19,0.24,0,4.0
2026-03-12 12:10:53,178,0.2113,0.0673,0.6352,0.05,0.02,43.5,0.09,0.2,0.24,0,4.0
2026-03-12 12:10:53,179,0.2529,0.2216,0.6901,0.05,0.02,28.9,0.09,0.25,0.24,0,4.1
2026-03-12 12:10:53,180,0.2383,0.0896,0.723,0.05,0.03,50.9,0.09,0.21,0.24,0,4.1
2026-03-12 12:10:53,181,0.2227,0.0943,0.6198,0.05,0.02,31.5,0.09,0.19,0.24,0,4.1
2026-03-12 12:10:53,182,0.2226,0.1003,0.7106,0.05,0.03,53.3,0.09,0.21,0.24,0,4.1
2026-03-12 12:10:53,183,0.2392,0.1468,0.7335,0.05,0.01,27.1,0.09,0.25,0.24,0,4.1
2026-03-12 12:10:54,184,0.2516,0.1538,0.7355,0.05,0.02,45.8,0.09,0.2,0.24,0,4.1
2026-03-12 12:10:54,185,0.28,0.2338,0.6778,0.05,0.01,25.2,0.09,0.24,0.24,0,4.2
2026-03-12 12:10:54,186,0.2799,0.1638,0.7437,0.05,0.01,12.0,0.09,0.24,0.24,0,4.2
2026-03-12 12:10:54,187,0.2401,0.0776,0.5918,0.05,0.02,38.4,0.09,0.19,0.24,0,4.2
2026-03-12 12:10:54,188,0.2171,0.0785,0.5993,0.05,0.02,41.2,0.09,0.19,0.24,0,4.2
2026-03-12 12:10:54,189,0.2219,0.1046,0.7274,0.05,0.01,27.5,0.09,0.25,0.24,0,4.2
2026-03-12 12:10:54,190,0.3502,0.4994,0.7152,0.05,0.0,3.8,0.09,0.26,0.24,0,4.2
2026-03-12 12:10:54,191,0.3832,0.3708,0.681,0.05,0.01,24.4,0.09,0.24,0.24,0,4.2
2026-03-12 12:10:54,192,0.3064,0.0852,0.6151,0.05,0.02,32.0,0.09,0.19,0.24,0,4.3
2026-03-12 12:10:54,193,0.2857,0.135,0.7333,0.05,0.03,50.3,0.09,0.19,0.24,0,4.3
2026-03-12 12:10:54,194,0.2598,0.1003,0.7034,0.05,0.02,36.4,0.09,0.2,0.24,0,4.3
2026-03-12 12:10:54,195,0.2422,0.0979,0.6878,0.05,0.02,37.5,0.09,0.2,0.24,0,4.3
2026-03-12 12:10:54,196,0.2287,0.0934,0.6687,0.05,0.03,50.9,0.09,0.2,0.24,0,4.3
2026-03-12 12:10:54,197,0.2172,0.0818,0.6732,0.05,0.02,32.8,0.09,0.2,0.24,0,4.3
2026-03-12 12:10:54,198,0.3459,0.4962,0.7095,0.05,0.0,5.4,0.09,0.27,0.24,0,4.4
2026-03-12 12:10:54,199,0.299,0.122,0.6549,0.05,0.03,51.9,0.09,0.21,0.24,0,4.4
2026-03-12 12:10:54,200,0.2761,0.1255,0.7065,0.05,0.03,54.3,0.09,0.19,0.24,0,4.4
2026-03-12 12:10:54,201,0.2407,0.0819,0.6104,0.05,0.02,28.2,0.09,0.25,0.24,0,4.4
2026-03-12 12:10:54,202,0.2261,0.09,0.6618,0.05,0.02,34.9,0.09,0.22,0.24,0,4.4
2026-03-12 12:10:54,203,0.2343,0.12,0.7525,0.05,0.02,37.9,0.09,0.19,0.24,0,4.4
2026-03-12 12:10:54,204,0.2742,0.2397,0.7117,0.05,0.02,45.1,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,205,0.2412,0.0768,0.651,0.05,0.02,37.7,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,206,0.2375,0.1105,0.7185,0.05,0.02,37.6,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,207,0.2272,0.0943,0.681,0.05,0.03,51.9,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,208,0.2134,0.08,0.6429,0.05,0.02,36.0,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,209,0.2098,0.0851,0.6815,0.05,0.03,51.2,0.09,0.19,0.24,0,4.5
2026-03-12 12:10:54,210,0.1918,0.0611,0.58,0.05,0.02,41.5,0.09,0.19,0.24,0,4.6
2026-03-12 12:10:54,211,0.1873,0.0728,0.6115,0.05,0.02,43.6,0.09,0.19,0.24,0,4.6
2026-03-12 12:10:54,212,0.2622,0.2933,0.6998,0.05,0.01,26.7,0.09,0.24,0.24,0,4.6
2026-03-12 12:10:54,213,0.2401,0.1051,0.6146,0.05,0.02,30.0,0.09,0.25,0.24,0,4.6
2026-03-12 12:10:54,214,0.3319,0.4111,0.7028,0.05,0.0,5.1,0.09,0.26,0.24,0,4.6
2026-03-12 12:10:54,215,0.2842,0.0884,0.7093,0.05,0.02,29.5,0.09,0.24,0.24,0,4.6
2026-03-12 12:10:54,216,0.251,0.0994,0.6084,0.05,0.01,24.7,0.09,0.25,0.24,0,4.6
2026-03-12 12:10:54,217,0.2528,0.142,0.7101,0.05,0.03,56.0,0.09,0.2,0.24,0,4.7
2026-03-12 12:10:54,218,0.2274,0.0744,0.6485,0.05,0.02,32.4,0.09,0.21,0.24,0,4.7
2026-03-12 12:10:54,219,0.2187,0.0941,0.6526,0.05,0.02,45.9,0.09,0.19,0.24,0,4.7
2026-03-12 12:10:54,220,0.2159,0.1016,0.6519,0.05,0.02,43.1,0.09,0.23,0.24,0,4.7
2026-03-12 12:10:54,221,0.2111,0.096,0.6353,0.05,0.02,34.5,0.09,0.19,0.24,0,4.7
2026-03-12 12:10:54,222,0.2207,0.1205,0.6942,0.05,0.01,26.2,0.09,0.25,0.24,0,4.7
2026-03-12 12:10:54,223,0.2279,0.1463,0.6077,0.05,0.02,39.1,0.09,0.21,0.24,0,4.8
2026-03-12 12:10:54,224,0.2129,0.0768,0.6443,0.05,0.02,44.3,0.09,0.19,0.24,0,4.8
2026-03-12 12:10:54,225,0.2031,0.0731,0.6497,0.05,0.02,43.1,0.09,0.19,0.24,0,4.8
2026-03-12 12:10:54,226,0.2025,0.0821,0.6801,0.05,0.02,40.4,0.09,0.19,0.24,0,4.8
2026-03-12 12:10:54,227,0.2178,0.1517,0.5961,0.05,0.02,44.6,0.09,0.19,0.24,0,4.8
2026-03-12 12:10:54,228,0.2036,0.0714,0.6263,0.05,0.02,46.0,0.09,0.19,0.24,0,4.9
2026-03-12 12:10:54,229,0.2035,0.0866,0.6703,0.05,0.02,41.0,0.09,0.21,0.24,0,4.9
2026-03-12 12:10:54,230,0.1907,0.0612,0.6128,0.05,0.02,39.1,0.09,0.19,0.24,0,4.9
