timestamp,iter,loss,vis_M,pts_M,vis_pct,blk,alloc_gb,rsv_gb,it_s,elapsed
"0323,13:31",13370,0.1272,0.83,4.16,20.0,8,0.28,1.25,18.4,
"0323,13:31",13380,0.0848,0.43,4.16,10.3,8,0.26,1.16,18.4,
"0323,13:31",13390,0.0962,1.22,4.16,29.5,8,0.35,1.12,18.4,
"0323,13:31",13400,0.0948,1.08,4.19,25.7,8,0.33,0.62,18.3,
"0323,13:31",13410,0.0974,1.01,4.19,24.2,8,0.35,1.21,18.3,
"0323,13:31",13420,0.0844,0.99,4.19,23.6,8,0.28,1.08,18.3,
"0323,13:31",13430,0.0878,0.61,4.19,14.6,8,0.32,0.85,18.3,
"0323,13:31",13440,0.1166,0.48,4.19,11.4,8,0.29,1.19,18.3,
"0323,13:31",13450,0.0873,0.65,4.19,15.5,8,0.31,1.18,18.3,
"0323,13:31",13460,0.1123,1.06,4.19,25.4,8,0.31,0.8,18.3,
"0323,13:31",13470,0.1087,1.09,4.19,26.1,8,0.36,1.08,18.3,
"0323,13:31",13480,0.0917,0.64,4.19,15.4,8,0.27,0.82,18.3,
"0323,13:31",13490,0.0895,1.08,4.19,25.7,8,0.29,1.14,18.3,
"0323,13:31",13500,0.1003,1.23,4.21,29.2,8,0.41,0.74,18.3,
"0323,13:31",13510,0.1008,0.5,4.21,12.0,8,0.32,0.67,18.3,
"0323,13:31",13520,0.0977,0.62,4.21,14.8,8,0.28,0.82,18.3,
"0323,13:31",13530,0.0938,1.02,4.21,24.1,8,0.32,1.23,18.3,
"0323,13:31",13540,0.0951,0.53,4.21,12.7,8,0.29,1.26,18.3,
"0323,13:31",13550,0.0988,1.23,4.21,29.3,8,0.31,0.53,18.3,
"0323,13:31",13560,0.098,0.53,4.21,12.6,8,0.28,0.91,18.3,
"0323,13:31",13570,0.0934,0.65,4.21,15.6,8,0.31,0.59,18.3,
"0323,13:31",13580,0.1067,0.44,4.21,10.6,8,0.26,1.19,18.2,
"0323,13:31",13590,0.0812,1.4,4.21,33.2,8,0.38,0.76,18.2,
"0323,13:31",13600,0.0825,0.67,4.24,15.8,8,0.3,0.6,18.2,
"0323,13:31",13610,0.0875,1.09,4.24,25.7,8,0.33,1.25,18.2,
"0323,13:31",13620,0.0978,1.09,4.24,25.8,8,0.3,1.15,18.2,
"0323,13:31",13630,0.0951,1.33,4.24,31.4,8,0.34,1.25,18.2,
"0323,13:31",13640,0.0984,1.07,4.24,25.2,8,0.3,1.0,18.2,
"0323,13:31",13650,0.0786,0.98,4.24,23.2,8,0.33,1.19,18.2,
"0323,13:31",13660,0.0853,0.62,4.24,14.7,8,0.29,1.28,18.2,
"0323,13:31",13670,0.096,0.9,4.24,21.3,8,0.33,1.22,18.2,
"0323,13:31",13680,0.0955,1.12,4.24,26.5,8,0.35,1.17,18.2,
"0323,13:31",13690,0.09,0.67,4.24,15.7,8,0.33,1.19,18.2,
"0323,13:31",13700,0.1047,1.11,4.26,26.1,8,0.36,0.6,18.2,
"0323,13:31",13710,0.0818,1.15,4.26,27.1,8,0.29,0.72,18.1,
"0323,13:31",13720,0.0951,1.44,4.26,33.8,8,0.38,1.26,18.1,
"0323,13:31",13730,0.0929,1.06,4.26,24.9,8,0.31,1.12,18.1,
"0323,13:31",13740,0.1089,1.05,4.26,24.5,8,0.37,1.0,18.1,
"0323,13:31",13750,0.1005,1.14,4.26,26.7,8,0.34,1.19,18.1,
"0323,13:31",13760,0.0842,0.62,4.26,14.6,8,0.33,1.22,18.1,
"0323,13:31",13770,0.1111,1.19,4.26,28.0,8,0.3,0.63,18.1,
"0323,13:31",13780,0.0922,0.65,4.26,15.3,8,0.32,1.23,18.1,
"0323,13:31",13790,0.0821,0.66,4.26,15.5,8,0.31,1.05,18.1,
"0323,13:31",13800,0.0917,1.44,4.28,33.6,8,0.39,0.7,18.1,
"0323,13:31",13810,0.1013,0.52,4.28,12.0,8,0.32,1.12,18.1,
"0323,13:31",13820,0.1057,0.98,4.28,22.9,8,0.37,0.87,18.1,
"0323,13:31",13830,0.0975,1.46,4.28,34.0,8,0.37,1.21,18.1,
"0323,13:31",13840,0.1187,1.2,4.28,27.9,8,0.3,0.84,18.1,
"0323,13:31",13850,0.0939,1.19,4.28,27.7,8,0.31,1.28,18.1,
"0323,13:31",13860,0.0858,1.36,4.28,31.9,8,0.36,1.35,18.1,
"0323,13:31",13870,0.0902,0.52,4.28,12.1,8,0.28,1.11,18.1,
"0323,13:31",13880,0.0915,0.66,4.28,15.5,8,0.31,1.29,18.1,
"0323,13:31",13890,0.077,0.95,4.28,22.2,8,0.34,1.27,18.1,
"0323,13:31",13900,0.0857,1.19,4.32,27.6,8,0.36,0.44,18.0,
"0323,13:31",13910,0.0977,0.46,4.32,10.6,8,0.27,1.14,18.0,
"0323,13:31",13920,0.0953,1.12,4.32,26.0,8,0.33,1.2,18.0,
"0323,13:31",13930,0.0912,0.64,4.32,14.8,8,0.28,0.63,18.0,
"0323,13:31",13940,0.0836,1.11,4.32,25.8,8,0.29,1.09,18.0,
"0323,13:31",13950,0.0982,1.19,4.32,27.6,8,0.31,0.66,18.0,
"0323,13:31",13960,0.1002,1.47,4.32,34.1,8,0.37,1.25,18.0,
"0323,13:31",13970,0.0837,0.69,4.32,16.0,8,0.29,1.25,18.0,
"0323,13:31",13980,0.0943,0.83,4.32,19.2,8,0.31,1.25,18.0,
"0323,13:31",13990,0.0899,1.09,4.32,25.3,8,0.3,1.25,18.0,
